timeframe,capital,strategy,max_concurrent,ml_threshold,sizing_config,total_resolved,wins,losses,winrate,final_balance,max_dd_usd,max_dd_pct,blown
M15,100.0,OB,100,0.5,equal,7,1,6,14.285714285714285,115.43813200000204,22.20687799999905,20.268489999999474,False
M15,100.0,OB,100,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,100,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,OB,100,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,1,0.0,equal,103,39,64,37.86407766990291,128.0,14.0,11.864406779661017,False
M15,100.0,BB,1,0.5,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,1,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,1,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,1,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,3,0.0,equal,103,39,64,37.86407766990291,128.0,14.0,11.864406779661017,False
M15,100.0,BB,3,0.5,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,3,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,3,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,3,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,5,0.0,equal,103,39,64,37.86407766990291,128.0,14.0,11.864406779661017,False
M15,100.0,BB,5,0.5,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,5,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,5,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,5,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,100,0.0,equal,103,39,64,37.86407766990291,128.0,14.0,11.864406779661017,False
M15,100.0,BB,100,0.5,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,100,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,100,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,BB,100,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,1,0.0,equal,905,389,516,42.98342541436464,1586.626973999997,291.9402960000025,53.22436907452579,False
M15,100.0,Swapzone,1,0.5,equal,26,9,17,34.61538461538461,185.61056400000052,116.24506400000064,48.24994871811013,False
M15,100.0,Swapzone,1,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,1,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,1,0.85,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,3,0.0,equal,983,419,564,42.624618514750765,1588.449426000002,374.42811600000186,57.32265567355429,False
M15,100.0,Swapzone,3,0.5,equal,27,10,17,37.03703703703704,200.06156400000054,116.24506400000064,48.24994871811013,False
M15,100.0,Swapzone,3,0.7,equal,0,0,0,0.0,100.0,0.0,0.0,False
M15,100.0,Swapzone,3,0.8,equal,0,0,0,0.0,100.0,0.0,0.0,False
